A,19-Jun-2020,89.41,89.79,87.76,88.73,1784700
AA,19-Jun-2020,11.98,12,11.34,11.48,8894500
AAN,19-Jun-2020,43.92,44.83,42.2,42.26,1400400
AAP,19-Jun-2020,150.47,150.57,144.78,144.9,1042900
AAT,19-Jun-2020,30.24,30.3,28.28,28.28,1077900
AB,19-Jun-2020,28,28.01,26.53,26.66,414700
ABB,19-Jun-2020,21.74,21.765,21.255,21.32,1992600
ABBV,19-Jun-2020,97.72,98.2,95.75,96.71,9210900
ABC,19-Jun-2020,101.74,103.37,101.045,102.15,1735800
ABEV,19-Jun-2020,2.6,2.65,2.58,2.6,44839900
ABG,19-Jun-2020,78.95,78.95,74.5,74.98,315500
ABM,19-Jun-2020,39.43,40.78,37.82,38.29,1330700
ABR,19-Jun-2020,9.79,10.03,9.54,9.67,2524800
ABR-A,19-Jun-2020,24.6456,25.1656,24.6274,24.95,1000
ABR-B,19-Jun-2020,24.2016,24.402,23.27,23.55,8300
ABR-C,19-Jun-2020,25.06,25.06,25.06,25.06,200
ABT,19-Jun-2020,91.67,92.4,90.61,90.68,9451300
AC,19-Jun-2020,36.47,36.9,35.09,35.46,20400
ACA,19-Jun-2020,41.49,41.89,40.57,40.83,477000
ACB,19-Jun-2020,13.18,13.89,12.97,13.37,6506800
ACC,19-Jun-2020,37.7,37.93,36.52,36.63,4818300
ACCO,19-Jun-2020,6.69,6.79,6.43,6.46,959100
ACE.W,19-Jun-2020,2.54,2.61,2.5,2.5,377100
ACEL,19-Jun-2020,10.3,10.49,10.01,10.06,2650600
ACH,19-Jun-2020,4.95,4.97,4.88,4.97,68600
ACM,19-Jun-2020,39.5,39.56,38.19,38.4,1515800
ACN,19-Jun-2020,207.54,208.285,201.52,201.55,3709800
ACP,19-Jun-2020,9.21,9.24,9.11,9.11,161700
ACRE,19-Jun-2020,9.29,9.53,9,9.12,756200
ACV,19-Jun-2020,23.27,23.49,22.94,22.94,35900
ADC,19-Jun-2020,67.99,69.86,67.3,67.48,4223500
ADCT,19-Jun-2020,40.9,41.78,39.655,41.5,100200
ADM,19-Jun-2020,41.25,41.67,40.185,40.24,5023100
ADNT,19-Jun-2020,17.22,18.3225,16.85,17.19,1593300
ADS,19-Jun-2020,50.45,50.54,46.82,47.4,9731200
ADSW,19-Jun-2020,31.75,31.75,30.51,31.15,2417800
ADT,19-Jun-2020,8.47,8.51,7.98,7.99,3581600
ADX,19-Jun-2020,15.05,15.14,14.87,14.95,202300
AEB,19-Jun-2020,23.21,23.4,23.21,23.29,10400
AEE,19-Jun-2020,73.07,73.3,69.74,69.8,3733900
AEFC,19-Jun-2020,23.63,23.63,23.39,23.45,58400
AEG,19-Jun-2020,2.97,2.97,2.79,2.81,3027500
AEL,19-Jun-2020,23.91,23.91,22.6408,23.17,1399900
AEL-A,19-Jun-2020,21.88,21.88,21.48,21.58,34600
AEM,19-Jun-2020,58.01,59.75,57.7,59.19,2686700
AEO,19-Jun-2020,12.61,12.6699,11.3919,11.54,12970700
AEP,19-Jun-2020,82.62,82.62,79.66,79.71,5687900
AEP-B,19-Jun-2020,49.75,50.95,48.93,50.18,350500
AER,19-Jun-2020,33.54,33.54,31.61,32.11,1278400
AES,19-Jun-2020,13.71,13.91,13.315,13.34,11285700
AFB,19-Jun-2020,13.35,13.35,13.25,13.3,39500
AFC,19-Jun-2020,25.58,25.6,25.535,25.58,3400
AFG,19-Jun-2020,66.07,66.67,62.93,63.33,2140800
AFGB,19-Jun-2020,26.41,26.68,26.41,26.6,8100
AFGC,19-Jun-2020,24.97,25.07,24.93,24.93,7700
AFGD,19-Jun-2020,25.89,25.93,25.75,25.78,17600
AFGH,19-Jun-2020,25.26,25.31,25.215,25.22,5500
AFI,19-Jun-2020,3.3,3.39,3.07,3.1,334900
AFL,19-Jun-2020,37.88,37.95,36.17,36.6,7666000
AFT,19-Jun-2020,12.36,12.43,12.34,12.4,51800
AG,19-Jun-2020,8.69,8.975,8.56,8.63,6263000
AGCO,19-Jun-2020,54.76,55.35,53.31,54.24,703800
AGD,19-Jun-2020,9.06,9.06,8.84,8.84,25400
AGI,19-Jun-2020,7.61,8.07,7.53,7.99,4278400
AGM,19-Jun-2020,67.42,67.79,65.12,67.29,148700
AGM-A,19-Jun-2020,26.95,27,26.8664,27,1700
AGM-C,19-Jun-2020,26.5119,26.5119,26.5119,26.5119,100
AGM-D,19-Jun-2020,25.4,25.8216,25.3787,25.6,7500
AGM-E,19-Jun-2020,25.5,25.56,25.49,25.55,8900
AGM.A,19-Jun-2020,59.22,59.22,55.64,56.48,1600
AGO,19-Jun-2020,26.09,26.09,24.676,24.87,1466800
AGO-B,19-Jun-2020,26.31,26.4415,26.11,26.13,8700
AGO-E,19-Jun-2020,25.86,25.86,25.27,25.48,14800
AGO-F,19-Jun-2020,25.35,25.4725,25.28,25.28,7900
AGR,19-Jun-2020,42.19,42.2,40.855,40.9,486600
AGRO,19-Jun-2020,4.68,4.76,4.54,4.59,261900
AGS,19-Jun-2020,4.53,4.54,4.01,4.03,831500
AGX,19-Jun-2020,42.65,42.65,41.35,42.11,169200
AHC,19-Jun-2020,1.76,1.77,1.73,1.76,18800
AHH,19-Jun-2020,9.59,9.69,9.01,9.1,761600
AHH-A,19-Jun-2020,23.7,23.99,23.5,23.8,2500
AHL-C,19-Jun-2020,24.74,24.99,24.04,24.65,18700
AHL-D,19-Jun-2020,23.43,23.43,23.2,23.25,9200
AHL-E,19-Jun-2020,23.05,23.2299,22.8997,22.95,11700
AHT,19-Jun-2020,0.9162,0.9399,0.7948,0.8401,8593100
AHT-D,19-Jun-2020,15.1,15.1,11.52,12.555,23400
AHT-F,19-Jun-2020,10.01,10.01,8.01,8.13,57300
AHT-G,19-Jun-2020,9.37,9.4374,7.8,8.1199,53300
AHT-H,19-Jun-2020,9.59,9.59,7.7601,8.03,46700
AHT-I,19-Jun-2020,9,9.7,7.84,8.02,71700
AI,19-Jun-2020,2.95,2.97,2.82,2.82,1639100
AI-B,19-Jun-2020,19.17,19.2,19,19,1600
AI-C,19-Jun-2020,19.55,20.09,19.55,20.09,400
AIC,19-Jun-2020,22.7,22.7393,22.7,22.7,500
AIF,19-Jun-2020,12.45,12.474,12.3472,12.39,32100
AIG,19-Jun-2020,33.36,33.36,31.6673,31.81,7776400
AIG-A,19-Jun-2020,25.98,26.15,25.92,25.93,29600
AIG.W,19-Jun-2020,2,2.14,1.82,1.8905,371000
AIN,19-Jun-2020,59.76,59.99,57.12,57.76,453600
AIO,19-Jun-2020,19.85,19.87,19.36,19.61,147300
AIR,19-Jun-2020,23.09,23.28,21.24,21.34,1263600
AIT,19-Jun-2020,62.43,62.43,59.7,60.11,301900
AIV,19-Jun-2020,39.54,39.8889,38.11,38.15,3561900
AIW,19-Jun-2020,23.6001,23.6001,23.6001,23.6001,400
AIZ,19-Jun-2020,109.62,109.62,105.48,106.28,882600
AIZP,19-Jun-2020,107.95,107.95,105.64,106.75,6700
AJG,19-Jun-2020,100.91,101,94.74,94.74,2928900
AJRD,19-Jun-2020,41.13,41.28,39,39.05,1493500
AJX,19-Jun-2020,9.1,9.3044,8.8,9.01,407000
AJXA,19-Jun-2020,23.6761,24.125,23.6761,24.125,135000
AKO.A,19-Jun-2020,13,13,12.95,12.95,500
AKO.B,19-Jun-2020,16.24,16.7,16.2,16.7,3900
AKR,19-Jun-2020,14.09,14.09,13.025,13.29,2345500
AL,19-Jun-2020,30.9,31.4,29.865,30.15,1510800
AL-A,19-Jun-2020,22.5533,23.2183,22.31,22.78,11400
ALB,19-Jun-2020,80.22,80.971,77.631,78.35,1242900
ALC,19-Jun-2020,61.36,61.71,60.5,60.92,958000
ALE,19-Jun-2020,56.57,57.13,54.37,54.48,791300
ALEX,19-Jun-2020,12.63,12.75,12.38,12.7,1013700
ALG,19-Jun-2020,102.5,103.52,96.81,98,106200
ALI-A,19-Jun-2020,15.22,15.46,15.22,15.46,2300
ALI-B,19-Jun-2020,17.04,17.41,17.04,17.294,12400
ALI-E,19-Jun-2020,17.2,17.4,17.075,17.2668,4800
ALK,19-Jun-2020,38.33,38.35,35.51,36.29,3873100
ALL,19-Jun-2020,101,101,97.51,98.73,3632900
ALL-B,19-Jun-2020,26.23,26.3,26.19,26.26,16100
ALL-G,19-Jun-2020,26.96,27.21,26.96,27.21,18800
ALL-H,19-Jun-2020,25.91,26.0199,25.87,25.98,60600
ALL-I,19-Jun-2020,25.64,25.67,25.59,25.63,19600
ALL-Y,19-Jun-2020,22.76,22.82,22.52,22.71,466600
ALLE,19-Jun-2020,104.99,104.99,101.91,102.74,963800
ALLY,19-Jun-2020,20.5,20.5,19.02,19.21,8523200
ALP-Q,19-Jun-2020,26.95,26.95,26.79,26.84,7900
ALSN,19-Jun-2020,37.64,37.72,35.97,36.61,1450300
ALT.W,19-Jun-2020,1.35,1.39,1.24,1.31,112300
ALTG,19-Jun-2020,8.75,8.98,8.495,8.83,1150900
ALUS,19-Jun-2020,9.91,9.91,9.81,9.81,150500
ALV,19-Jun-2020,64.2,64.92,62.63,63.1,1317200
ALX,19-Jun-2020,258.25,258.25,251.58,257.27,35700
AM,19-Jun-2020,5.96,6,5.745,5.95,10308300
AMB.W,19-Jun-2020,5.99,6.0271,5.42,5.42,28100
AMBC,19-Jun-2020,14.64,14.7,13.89,13.9,963200
AMC,19-Jun-2020,6.2,6.25,5.46,5.52,13137300
AMCR,19-Jun-2020,10.28,10.34,10.03,10.31,43111600
AME,19-Jun-2020,91.05,91.1,88.06,88.53,1856200
AMG,19-Jun-2020,75.72,76.22,73.73,75.23,892200
AMH,19-Jun-2020,27.62,27.7,26.735,26.92,4279700
AMH-D,19-Jun-2020,25.66,25.66,25.47,25.51,4700
AMH-E,19-Jun-2020,25.5685,25.5685,25.4762,25.48,1500
AMH-F,19-Jun-2020,25.44,25.5315,25.41,25.45,3000
AMH-G,19-Jun-2020,25,25.4301,25,25.36,4300
AMH-H,19-Jun-2020,26.57,26.57,26.0151,26.0151,2100
AMK,19-Jun-2020,27.42,27.97,26.91,27.38,249500
AMN,19-Jun-2020,45.21,45.52,43.575,43.6,719200
AMOV,19-Jun-2020,12.86,13.25,12.86,13.05,5100
AMP,19-Jun-2020,153.87,153.97,146.76,148.35,2098100
AMPY,19-Jun-2020,1.71,1.72,1.55,1.59,620500
AMRC,19-Jun-2020,22.87,23.58,22.716,22.97,282500
AMRX,19-Jun-2020,5.06,5.1,4.78,4.83,2350400
AMT,19-Jun-2020,261.51,265.87,256.4235,265.6,6189500
AMX,19-Jun-2020,13.21,13.545,13.12,13.38,4656900
AN,19-Jun-2020,39.77,39.93,38.02,38.02,1120400
ANET,19-Jun-2020,223,223.28,213.77,218.01,1190800
ANF,19-Jun-2020,11.72,11.73,10.65,10.65,3583700
ANH,19-Jun-2020,1.83,1.85,1.74,1.78,1382800
ANH-A,19-Jun-2020,23.43,23.43,23.28,23.4299,1100
ANH-C,19-Jun-2020,20.8,21.2,20.8,21.18,4800
ANTM,19-Jun-2020,270.27,272.65,266.33,266.43,1820400
AOD,19-Jun-2020,7.77,7.8,7.65,7.67,357100
AON,19-Jun-2020,193.9,194.02,186.21,186.79,2778300
AOS,19-Jun-2020,48.62,48.8,46.81,47.29,1458000
AP,19-Jun-2020,3.86,3.86,3.2301,3.26,109400
APAM,19-Jun-2020,33.56,33.57,31.8,32.7,1032100
APD,19-Jun-2020,241.95,241.95,235.39,235.51,1384800
APG,19-Jun-2020,14.01,14.63,13.48,13.59,11398500
APH,19-Jun-2020,100.92,100.92,96.87,97.03,2400900
APLE,19-Jun-2020,10.61,10.72,9.91,10.02,6768200
APO,19-Jun-2020,55.37,55.385,52.8,53.08,1798100
APO-A,19-Jun-2020,26.23,26.23,26.11,26.18,4900
APO-B,19-Jun-2020,26,26.0649,25.92,25.92,12300
APRN,19-Jun-2020,9.87,9.95,9.3301,9.58,751400
APT-A,19-Jun-2020,102.5,104.98,101.842,101.95,232300
APTS,19-Jun-2020,7.71,7.71,7.36,7.48,858500
APTV,19-Jun-2020,78.39,80.79,77.32,77.73,3713900
AQN,19-Jun-2020,13.94,14.02,13.37,13.43,1837900
AQNA,19-Jun-2020,27.04,27.1361,26.8102,26.91,4700
AQNB,19-Jun-2020,26.4,26.5,26.22,26.22,5800
AQUA,19-Jun-2020,18.51,18.71,18.005,18.29,1137400
AR,19-Jun-2020,3.6,3.65,3.19,3.2,32481700
ARA,19-Jun-2020,6.12,6.1799,5.87,5.97,208200
ARC,19-Jun-2020,1.03,1.05,0.982,1.05,122700
ARCH,19-Jun-2020,31.64,32.32,30.5,30.81,668800
ARCO,19-Jun-2020,4.28,4.28,4.13,4.16,987200
ARD,19-Jun-2020,12.94,13.31,12.88,13.18,158000
ARDC,19-Jun-2020,12.32,12.33,12.12,12.12,93300
ARE,19-Jun-2020,173.12,173.26,165.36,165.84,5594400
ARE-A,19-Jun-2020,25.58,25.76,25.35,25.42,15800
ARES,19-Jun-2020,39.88,39.89,38.365,39.02,1848500
ARGD,19-Jun-2020,25.6,25.6,25.05,25.05,7000
ARGO,19-Jun-2020,33.57,33.86,32.02,32.95,908400
ARI,19-Jun-2020,10.09,10.21,9.61,9.83,3021700
ARL,19-Jun-2020,9.16,9.2,8.6,9.03,20300
ARLO,19-Jun-2020,2.62,2.77,2.58,2.61,1096900
ARMK,19-Jun-2020,25.41,25.57,23.55,23.67,2897000
ARNC,19-Jun-2020,15.99,15.99,15.0801,15.4,3837200
AROC,19-Jun-2020,6.26,6.34,6.09,6.09,2086600
ARR,19-Jun-2020,9.17,9.3,8.87,8.99,3107000
ARR-C,19-Jun-2020,21.9663,22.3,21.905,21.95,10700
ARW,19-Jun-2020,66.33,67.88,65.59,66.24,1128400
ASA,19-Jun-2020,15.27,15.83,15.255,15.61,130000
ASB,19-Jun-2020,14.69,14.69,13.92,14.22,2767700
ASB-C,19-Jun-2020,25.37,25.37,25.35,25.35,600
ASB-D,19-Jun-2020,24.9,25.04,24.83,24.83,2500
ASB-E,19-Jun-2020,25.353,25.353,25.32,25.34,900
ASB-F,19-Jun-2020,24.32,24.4,24.18,24.35,57400
ASC,19-Jun-2020,4.92,4.995,4.64,4.72,407600
ASG,19-Jun-2020,6.25,6.25,6.09,6.15,99400
ASGN,19-Jun-2020,64.86,65.09,62.37,64,767700
ASH,19-Jun-2020,69.73,70.295,68.37,68.75,363500
ASIX,19-Jun-2020,11.8,11.88,11.4,11.52,325500
ASPN,19-Jun-2020,6.8,6.99,6.67,6.67,107600
ASR,19-Jun-2020,119.71,121.19,115.64,116.69,219900
ASX,19-Jun-2020,4.52,4.55,4.3713,4.45,1008100
AT,19-Jun-2020,1.88,1.96,1.87,1.89,2641500
ATC-D,19-Jun-2020,22.28,22.28,22,22.03,3700
ATC-E,19-Jun-2020,22.67,23.1795,22.67,22.91,3700
ATC-G,19-Jun-2020,22.9169,23.2,22.9169,23.01,5200
ATC-H,19-Jun-2020,21.8,21.98,21.8,21.8591,13300
ATC-I,19-Jun-2020,21.06,21.7,21.06,21.2,21000
ATCO,19-Jun-2020,7.55,7.77,7.52,7.62,907700
ATEN,19-Jun-2020,6.92,7.1,6.82,6.96,1715600
ATGE,19-Jun-2020,32.78,33.27,32.32,32.65,1033700
ATH,19-Jun-2020,35.53,35.53,32.97,33.32,3580700
ATH-A,19-Jun-2020,24.95,24.95,24.684,24.8,50800
ATH-B,19-Jun-2020,23.33,23.6,23.28,23.53,55200
ATH-C,19-Jun-2020,25.17,25.23,24.98,25,353600
ATHM,19-Jun-2020,82.74,83.14,80.26,80.54,1023700
ATI,19-Jun-2020,10.54,10.66,9.65,9.91,6077600
ATKR,19-Jun-2020,27.81,28.17,26.26,26.75,393500
ATO,19-Jun-2020,102.97,103.31,99.48,99.72,2060000
ATR,19-Jun-2020,107.21,107.99,106.1,107.6,303700
ATTO,19-Jun-2020,1.21,1.22,1.1682,1.21,47900
ATUS,19-Jun-2020,24.98,24.98,23.81,24.26,9622200
ATV,19-Jun-2020,13.4,13.4,12.81,12.88,600
AU,19-Jun-2020,25.1,26.48,25,26.01,3931700
AUY,19-Jun-2020,4.89,5.08,4.84,5.03,20182700
AVA,19-Jun-2020,37.04,37.58,35.28,35.33,1637900
AVAL,19-Jun-2020,4.62,4.64,4.51,4.51,397800
AVB,19-Jun-2020,163.7,164.11,155.09,155.09,3230200
AVD,19-Jun-2020,12.4,13.17,12.32,13,333600
AVK,19-Jun-2020,13.18,13.28,13.05,13.05,100200
AVLR,19-Jun-2020,125.24,126.95,122.96,124.45,1742200
AVNS,19-Jun-2020,29.18,30.04,28.63,29.14,442000
AVT-A,19-Jun-2020,60.59,60.59,59.67,59.79,44900
AVTR,19-Jun-2020,17.8,18.05,17.43,17.63,2102500
AVY,19-Jun-2020,118.61,118.61,114.51,114.52,536500
AVYA,19-Jun-2020,12.85,13.13,12.5806,12.99,3498300
AWF,19-Jun-2020,10.43,10.43,10.2702,10.29,113000
AWI,19-Jun-2020,77.52,77.58,74.09,75,492400
AWK,19-Jun-2020,131.06,131.13,126.36,126.36,1754300
AWP,19-Jun-2020,4.85,4.85,4.73,4.76,437000
AWR,19-Jun-2020,78.76,78.87,76.83,77,417700
AX,19-Jun-2020,21.87,21.88,20.745,21.02,812700
AXE,19-Jun-2020,98.18,98.28,97.45,97.85,2525700
AXL,19-Jun-2020,7.23,7.44,7.08,7.38,2817600
AXO,19-Jun-2020,25.21,25.44,25.12,25.1861,3800
AXP,19-Jun-2020,104.23,104.23,99.32,100.94,7589400
AXR,19-Jun-2020,4.6,4.6,4.53,4.6,41600
AXS,19-Jun-2020,43.5,43.78,42.78,43.3,1612800
AXS-E,19-Jun-2020,24.37,24.45,24.31,24.31,37300
AXTA,19-Jun-2020,22.69,22.74,21.8,22.09,1552600
AYI,19-Jun-2020,93.21,93.21,88.96,90.48,592800
AYX,19-Jun-2020,164.23,168.3799,160.53,163.56,1937100
AZEK,19-Jun-2020,30.26,31,29.81,30.4,772400
AZN,19-Jun-2020,52.5,53.2,52.41,53.02,6807200
AZO,19-Jun-2020,1159.37,1159.37,1121.74,1130.6,330200
AZRE,19-Jun-2020,15.75,16,15.6001,16,53100
AZUL,19-Jun-2020,12.66,12.66,11.98,12.13,4470500
AZZ,19-Jun-2020,33.22,33.24,32.54,33.03,316800
B,19-Jun-2020,39.86,39.94,37.77,38.87,571200
BA,19-Jun-2020,197.9,197.96,184.571,187.02,67262000
BABA,19-Jun-2020,226.38,226.5,220.09,220.64,19545100
BAC,19-Jun-2020,25.44,25.49,24.49,25.25,127563600
BAC-A,19-Jun-2020,26.2,26.2,26.04,26.08,194600
BAC-B,19-Jun-2020,27.13,27.2799,27.07,27.17,33500
BAC-C,19-Jun-2020,25.94,26.03,25.88,25.89,209700
BAC-E,19-Jun-2020,23.55,23.608,23.54,23.59,6600
BAC-K,19-Jun-2020,26.82,26.82,26.68,26.72,26700
BAC-L,19-Jun-2020,1359.94,1364,1359.71,1362,15000
BAC-M,19-Jun-2020,26.2,26.2236,25.88,25.9,364700
BAC-N,19-Jun-2020,25.21,25.25,25.12,25.17,133900
BAF,19-Jun-2020,13.76,13.91,13.74,13.85,28200
BAH,19-Jun-2020,81.17,82.16,79.71,79.79,1514100
BAK,19-Jun-2020,9.75,10.02,9.56,9.56,122000
BAM,19-Jun-2020,34.75,34.89,33.8971,34.06,2717300
BAN-D,19-Jun-2020,25.05,25.1,25.05,25.0996,4100
BAN-E,19-Jun-2020,25.422,25.422,25.14,25.14,600
BANC,19-Jun-2020,11.28,11.28,10.4,10.91,606300
BAP,19-Jun-2020,152.29,152.29,147.65,147.93,1102700
BAX,19-Jun-2020,85,85.29,84.03,84.49,4406500
BB,19-Jun-2020,5.14,5.16,4.945,5.06,8341700
BBAR,19-Jun-2020,3.64,3.84,3.5382,3.72,1872000
BBD,19-Jun-2020,4.23,4.23,4.08,4.1,47021000
BBDC,19-Jun-2020,7.5,7.68,7.34,7.36,177000
BBDO,19-Jun-2020,3.88,3.88,3.72,3.78,10800
BBF,19-Jun-2020,12.58,12.59,12.546,12.57,16400
BBK,19-Jun-2020,15.18,15.22,15.1,15.1,15600
BBL,19-Jun-2020,40.25,40.38,39.53,39.63,1384200
BBN,19-Jun-2020,24.76,24.86,24.654,24.86,79800
BBU,19-Jun-2020,33.93,34.17,33.23,33.49,29800
BBVA,19-Jun-2020,3.52,3.52,3.36,3.38,2380500
BBW,19-Jun-2020,2.4,2.4,2.28,2.35,99600
BBX,19-Jun-2020,2.21,2.4,2.13,2.32,647900
BBY,19-Jun-2020,83.84,83.86,80.53,81.2,4938800
BC,19-Jun-2020,61.01,61.4,59.475,60.08,1617300
BC-A,19-Jun-2020,26.3,26.32,26.09,26.26,5600
BC-B,19-Jun-2020,26.5,26.9,26.475,26.8,15000
BC-C,19-Jun-2020,26,26.25,25.8025,25.82,14800
BCC,19-Jun-2020,35.13,36,33.85,34.46,539200
BCE,19-Jun-2020,42.88,42.88,42.465,42.59,1145900
BCEI,19-Jun-2020,17.82,17.95,16.81,17.03,469300
BCH,19-Jun-2020,18.45,18.53,18.15,18.45,122100
BCO,19-Jun-2020,47.44,47.63,43.97,43.98,1325800
BCS,19-Jun-2020,5.88,5.88,5.615,5.65,3813700
BCSF,19-Jun-2020,12.28,12.28,11.78,12.11,353000
BCX,19-Jun-2020,6.19,6.2,6.04,6.05,301300
BDC,19-Jun-2020,34.16,34.16,33.02,33.35,577100
BDJ,19-Jun-2020,7.45,7.49,7.3,7.35,566900
BDN,19-Jun-2020,10.59,10.61,10.26,10.36,4903100
BDX,19-Jun-2020,238.55,239.37,235.14,237.59,2392900
BDXB,19-Jun-2020,50.82,51.39,50.82,51.35,535700
BE,19-Jun-2020,9.37,9.91,9.14,9.43,3865100
BEDU,19-Jun-2020,7.93,8.11,7.93,8.07,20500
BEN,19-Jun-2020,23.07,23.07,21.95,21.95,13766100
BEP,19-Jun-2020,49.42,50.34,48.69,48.97,531600
BEP-A,19-Jun-2020,25.25,25.25,25.06,25.09,6900
BERY,19-Jun-2020,44.41,44.675,43.57,44.27,842600
BEST,19-Jun-2020,4.81,4.95,4.69,4.86,2335100
BF.A,19-Jun-2020,60.01,60.995,57.9,57.9,128800
BF.B,19-Jun-2020,67.83,67.89,64.89,65.32,3172300
BFAM,19-Jun-2020,122.42,122.42,115.07,115.1,392200
BFK,19-Jun-2020,13.24,13.24,13.17,13.22,49300
BFO,19-Jun-2020,14.7378,14.75,14.68,14.7069,13400
BFS,19-Jun-2020,33.58,33.58,32.25,32.49,131900
BFS-D,19-Jun-2020,22.7678,22.8,22.57,22.7999,600
BFS-E,19-Jun-2020,22.13,23.15,22.08,22.5,22700
BFY,19-Jun-2020,13.48,13.51,13.4699,13.4868,11900
BFZ,19-Jun-2020,13.13,13.15,13.1,13.12,46500
BG,19-Jun-2020,42,42,40.63,40.63,2544400
BGB,19-Jun-2020,11.51,11.62,11.51,11.6,143600
BGG,19-Jun-2020,1.67,1.67,1.49,1.58,5417000
BGH,19-Jun-2020,12.75,12.7611,12.57,12.57,77000
BGIO,19-Jun-2020,8.4599,8.4599,8.32,8.39,16300
BGR,19-Jun-2020,7.5,7.5199,7.25,7.25,155100
BGS,19-Jun-2020,24.43,24.69,24.23,24.36,1431900
BGSF,19-Jun-2020,11.36,11.45,10.92,11.01,114300
BGT,19-Jun-2020,11.12,11.12,11,11.05,71300
BGX,19-Jun-2020,12.13,12.1525,12.103,12.12,104100
BGY,19-Jun-2020,5.23,5.23,5.15,5.16,208200
BH,19-Jun-2020,83.12,84,73.434,75.21,30900
BH.A,19-Jun-2020,449.85,449.85,410,410,700
BHC,19-Jun-2020,20.35,20.39,19.29,19.58,5166700
BHE,19-Jun-2020,21.23,21.32,20.56,20.69,620400
BHK,19-Jun-2020,15.46,15.5,15.39,15.5,107500
BHLB,19-Jun-2020,11.4,11.49,10.84,11.16,1136600
BHP,19-Jun-2020,48.53,48.79,47.82,47.96,2277200
BHR,19-Jun-2020,3.45,3.6476,3.31,3.31,1340800
BHR-B,19-Jun-2020,11,11.1499,10.04,10.04,13000
BHR-D,19-Jun-2020,15.3,15.75,15,15.21,8200
BHV,19-Jun-2020,15.35,15.35,15.3275,15.3275,500
BHVN,19-Jun-2020,75,75.41,68.28,72.68,2381600
BIF,19-Jun-2020,9.52,9.55,9.37,9.38,475900
BIG,19-Jun-2020,35.13,35.26,33.23,33.38,1471000
BILL,19-Jun-2020,82.84,83.4,80.01,81.9,2057000
BIO,19-Jun-2020,456.5,459.04,448.66,451.96,3931700
BIO.B,19-Jun-2020,452.4,452.4,452.4,452.4,100
BIP,19-Jun-2020,43,43.67,42.39,42.46,394500
